"STN
Code",Name of Monitoring Location,Type Water Body,State Name,"Temperature
?C (Min)","Temperature
?C (Max)",Dissolved Oxygen (mg/L) (Min),Dissolved Oxygen (mg/L) (Max),pH (Min),pH (Max),Conductivity (?mhos/cm) (Min),Conductivity (?mhos/cm) (Max),BOD (mg/L) (Min),BOD (mg/L) (Max),Nitrate N + Nitrite N(mg/L) (Min),Nitrate N + Nitrite N(mg/L) (Max),Fecal Coliform (MPN/100ml) (Min),Fecal Coliform (MPN/100ml) (Max),Total Coliform (MPN/100ml) (Min),Total Coliform (MPN/100ml) (Max)
2078,"KUWADAVA LAKE, VILL. KUWADAVA,
DIST. RAJKOT.",LAKE,GUJARAT,26,30,5.9,6.9,7.3,8.4,452,3120,1.6,2.5,0.32,0.75,2,170,10,540
1975,"LAKHOTA TALAV, JAMNAGAR",LAKE,GUJARAT,18,29,3,4.4,6.8,8.4,358,835,1,2.1,0.32,0.6,3,6,6,27
3197,"MACHHU-II DAM, RAFLESHWAR, MORBI, RAJKOT",LAKE,GUJARAT,24,29,6.4,6.8,7.3,8.6,299,1012,2,2.4,0.16,0.43,2,21,2,49
3201,"MALAV TALAV, DHOLKA",LAKE,GUJARAT,24,32,4.2,9.2,8.3,9.1,2669,3850,3,27,0.3,0.72,12,540,63,920
3200,MOONSAR LAKE OF VIRAMGAM,LAKE,GUJARAT,26,30,0.3,7.5,8.3,9,1838,6138,10,59,0.16,1.1,94,920,280,1600
2077,"MOTICHER LAKE NEAR KAKARPAR
ATOMIC POWER STATION, DIST. SURAT.",LAKE,GUJARAT,20,30,6.2,7.6,7.5,8.3,383,773,1,1.1,0.01,0.42,2,6,2,33
1972,"NALSAROVAR LAKE (SANAND),
DIST.AHMEDABAD",LAKE,GUJARAT,26,30,5,8.4,7.8,8.8,1290,11480,1.8,24,0.32,0.76,33,540,120,920
1976,NARSIMEHTA TALAV- JUNAGADH,LAKE,GUJARAT,23,29,3.5,6.5,7.2,8.3,314,1020,2.2,2.9,0.33,0.35,2,49,17,130
1346,"SURSAGAR LAKE AT BARODA,",LAKE,GUJARAT,26,32,4.9,7.3,7.6,8.5,800,1136,1.6,4.1,0.32,0.45,46,350,170,540
3202,VHERAIMATA TALAV AT ANAND,LAKE,GUJARAT,26,28,3.5,5.5,7.3,8.5,430,779,1.8,4.1,0.3,0.91,130,350,240,540
2079,"DHUDHIA TALAV AT NAVSARI, DIST.
NAVSARI.",POND,GUJARAT,28,31,7,7.8,7.5,8.4,369,564,1,1.9,0.3,0.57,2,17,10,120
1979,"OLPAD, VILLAGE POND:OLPAD, SURAT",POND,GUJARAT,20,30,5.4,8.2,7.3,8.4,413,1038,1,2.5,0.04,0.32,2,110,27,280
1971,THOL TANK (KALOL) (DIST. MEHASANA),TANK,GUJARAT,22,35,2.6,7.7,7.1,8.5,440,1360,8,29,0.32,1.04,6,540,50,920
1349,"BRAHMSAROVAR LAKE AT
KURUKSHETRA",LAKE,HARYANA,0,0,6.2,7.8,7.2,8,289,812,3.5,4.5,0.14,2.84,100,14100,100,34800
1392,"KAUSSHALAYA LAKE, PINJORE,
PANCHKULA",LAKE,HARYANA,0,0,3.9,7.2,7.6,8.2,329,488,3.2,4.8,0.3,0.88,400,4800,100,12000
3033,SOHNA LAKE,LAKE,HARYANA,20.4,32,6.5,7.2,7,7.9,860,1360,4,9,0.8,3.2,6600,39000,32000,110000
4857,"SANHIT SAROVAR, KURUSHETRA",POND,HARYANA,0,0,6.3,8,7,7.8,280,785,3.4,4.6,0.18,0.3,100,11800,100,24000
1291,GOBINDSAGAR LAKE AT BILASPUR,LAKE,"HIMACHAL
PRADESH",14,23,8.4,9.7,7.2,8,187,380,1,1,0.32,2.14,94,540,280,1600
2650,KHAZIAR LAKE,LAKE,"HIMACHAL
PRADESH",4,17,5.7,7.1,6.1,7.7,62,113,1,2,0.3,1.9,2,2,31,84
1292,"PONGDAM LAKE AT PONG VILLAGE,",LAKE,"HIMACHAL
PRADESH",13,26,6,9.2,7.1,8.2,109,225,1,1,0.3,1.2,2,2,25,63
1429,"RENUKA LAKE , 35 KM FROM PATNA
SAHIB NORTH",LAKE,"HIMACHAL
PRADESH",10,22,6.5,8.9,7.3,8.5,372,625,1,2,0.32,0.82,26,46,130,350
2649,RIWALSAR LAKE,LAKE,"HIMACHAL
PRADESH",11,27,5.3,9.8,6.9,8.3,58,746,1,5,0.41,1.74,110,920,920,1600
2738,"(MANSAR LAKE AT MID POINT(MANSAR
LAKE)",LAKE,"JAMMU &
KASHMIR",14,24,7.5,7.9,7.4,7.9,190,225,1,1,0.02,0.26,0,0,0,0
2740,"(MANSAR LAKE AT MID POINT(SURINSAR LAKE), J&K",LAKE,JAMMU & KASHMIR,15,26,6.2,6.6,7.9,8.6,168,236,3.1,4.1,0.03,0.04,0,0,0,0
4044,ANCHAR LAKE AT CENTRAL SITE,LAKE,JAMMU & KASHMIR,9.2,26.1,3.6,7.1,7.3,7.7,225,479,1.5,2.8,0,0,0,0,0,0
4047,ANCHAR LAKE AT JENAB SAHAB SOURA,LAKE,JAMMU & KASHMIR,8.3,26.3,0.5,3.6,7.2,7.4,300,725,3.3,8.7,0,0,0,0,0,0
4045,ANCHAR LAKE AT SANGAM,LAKE,"JAMMU &
KASHMIR",7.1,26.4,1.4,5.6,7.2,7.4,274,552,2.4,5.3,0,0,0,0,0,0
4043,ANCHAR LAKE AT SINDH INFLOW,LAKE,"JAMMU &
KASHMIR",7.3,24,3.5,7.2,7.3,7.8,217,2889,1.2,2.8,0,0,0,0,0,0
4046,ANCHAR LAKE NEAR LKIMS,LAKE,"JAMMU &
KASHMIR",8.9,25.8,0.7,2.6,7.1,7.4,274,676,3.5,7.6,0,0,0,0,0,0
4040,DAL LAKE AT ASHAIBAGH BRIDGE,LAKE,"JAMMU &
KASHMIR",13,25.8,4.3,9,7.3,8.1,179,217,2,4.4,0,0,0,0,0,0
4042,DAL LAKE AT JOGILANKER,LAKE,"JAMMU &
KASHMIR",14,28.2,0.5,4.5,7.1,7.7,264,350,5.4,13.6,0,0,0,0,0,0
4041,DAL LAKE AT NAYADYAR,LAKE,"JAMMU &
KASHMIR",13.5,28,0.7,5,7.1,7.7,273,310,4.4,10.5,0,0,0,0,0,0
3254,DAL LAKE AT ABIKARPORA,LAKE,"JAMMU &
KASHMIR",11.2,25.5,3.4,7.5,7.2,7.9,166,2110,2.1,2.9,0,0,0,0,0,0
3252,DAL LAKE AT CHAIRCHINARI,LAKE,"JAMMU &
KASHMIR",11.3,28,3.3,7.5,7,8.3,161,206,2,3.7,0,0,0,0,0,0
3251,DAL LAKE AT DALGATE,LAKE,"JAMMU &
KASHMIR",11.7,27.3,4.7,7.6,7.1,7.9,170,200,2.7,3.3,0,0,0,0,0,0
3259,DAL LAKE AT DHOBIGHAT,LAKE,"JAMMU &
KASHMIR",14,27.8,4,9,7.5,8.2,161,430,2.3,6.4,0,0,0,0,0,0
3256,"DAL LAKE AT ENTRY POINT OF TALIBAL
NALLAH",LAKE,"JAMMU &
KASHMIR",13,26.4,6,9.5,7.5,8.1,101,237,1.3,3.4,0,0,0,0,0,0
3257,DAL LAKE AT HABAK,LAKE,"JAMMU &
KASHMIR",13.5,27.4,2.8,8.3,7.4,8.5,183,420,1,8.5,0.02,0.02,0,0,0,0
3258,DAL LAKE AT HAZRATBAL,LAKE,"JAMMU &
KASHMIR",13.8,28,4.5,9.8,7.5,8.3,206,311,2.2,5.6,0,0,0,0,0,0
3262,"DAL LAKE AT NIGEEN, WATER INTAKE PT OF POKHRIBAL WATER TREATMENT
PLANT",LAKE,JAMMU & KASHMIR,13.5,27,5.8,9.2,7.7,8.5,202,227,2,4,0,0,0,0,0,0
3261,"DAL LAKE AT NISHAT, WATER INTAKE POINT OF NISHAT WATER TREATMENT
PLANT",LAKE,JAMMU & KASHMIR,13,27.6,6.4,9.8,7.9,8.2,160,195,2,3.8,0,0,0,0,0,0
3260,DAL LAKE AT SONALANK,LAKE,JAMMU & KASHMIR,13.8,26.1,6.4,9.8,7.4,8.5,142,268,1.5,2.9,0,0,0,0,0,0
1309,DAL LAKE AT SRINAGAR,LAKE,JAMMU & KASHMIR,11.7,28,5.7,9.3,7.4,7.8,165,202,2.3,4.6,0,0,0,0,0,0
3253,DAL LAKE NEAR NISHAT LAM,LAKE,JAMMU & KASHMIR,12.2,27.5,4.8,8.9,7.6,8.3,188,267,2,6.3,0,0,0,0,0,0
2739,"MANSAR LAKE POINT OF DISCHARGE OF WASTE WATER FROM DIFFERENT
ESTABLISHMENTS NEAR NAG TEMPLE",LAKE,JAMMU & KASHMIR,14,24,5.9,7.9,7.5,8.1,192,239,1,1,0.02,0.02,0,0,0,0
2741,"SURINSAR LAKE POINT OF DISCHARGE OF WASTE WATER FROM DIFFERENT
ESTABLISHMENTS",LAKE,JAMMU & KASHMIR,15,26,6.1,6.5,8.1,8.6,170,240,3.4,16.4,0.04,0.04,0,0,0,0
4048,WULAR LAKE AT SADERKOTE,LAKE,"JAMMU &
KASHMIR",9.4,27,2.5,7.5,7.3,7.6,197,291,2,5.1,0,0,0,0,0,0
4049,WULAR LAKE AT ZALWAN,LAKE,"JAMMU &
KASHMIR",10,21,1.6,8.1,7.1,7.5,90,487,1.3,5.6,0,0,0,0,0,0
3266,"WULAR LAKE AT ENTRY PT OF ERIN
NALLAH",LAKE,"JAMMU &
KASHMIR",6.1,24,3,7.9,7.2,7.9,70,165,1,4.6,0,0,0,0,0,0
3263,WULAR LAKE AT NINGLI NALLAH,LAKE,"JAMMU &
KASHMIR",6,24.1,4.2,6.8,7.1,7.6,194,260,1.3,2.7,0,0,0,0,0,0
3264,WULAR LAKE AT WATLAB,LAKE,"JAMMU &
KASHMIR",8.6,26,4.4,8.5,7.1,8,161,249,1.5,2.7,0,0,0,0,0,0
3265,WULAR LAKE ATKANIBATH,LAKE,"JAMMU &
KASHMIR",8.5,28.4,2.4,8.7,7.1,7.7,188,268,1.8,5.7,0,0,0,0,0,0
2398,"DIMNA LAKE, DIMNA",LAKE,JHARKHAND,20,32,7,8,7.2,7.7,168,243,1,1.6,0,0,0,0,0,0
2394,TOP CHANCHI LAKE,LAKE,JHARKHAND,19.5,20,7.4,7.6,7.5,7.5,0,0,2.4,2.5,0,0,0,0,0,0
4491,"HOLY POND OF SHIV GANGA JARMUNDI,
DUMKA",POND,JHARKHAND,17,31,3.6,8,7.6,8.2,296,350,2.1,2.6,0,0,0,0,0,0
4740,"LOCO TALAB ) PUMPU TALAB), AT- BARMASIA, DHANBAD",POND,JHARKHAND,20,23,2,4.9,7.3,7.4,0,0,3.9,12.8,0,0,0,0,0,0
4741,"RANIBANDH TALAB NEAR ISM, DHANBAD",POND,JHARKHAND,19,23,4,4.2,7.3,7.4,0,0,4.6,4.8,0,0,0,0,0,0
2393,"SHIV GANGA POND, DEOGHAR",POND,JHARKHAND,17,32,6.2,7.6,7.6,8.2,310,332,1.5,2.6,0,0,0,0,0,0
4506,ABBIGERE LAKE,LAKE,KARNATAKA,25,25,0.3,7.2,6.5,8.1,226,1399,3,42,0.7,3,4600,940000,35000,5400000
3612,AGARAM LAKE,LAKE,KARNATAKA,25,25,1.9,7,6.5,7.7,324,1268,4,22,1.5,5.7,3300,150000,24000,1600000
3628,AMRUTHAHALLI LAKE,LAKE,KARNATAKA,25,25,4.2,6.6,6.6,7.6,449,963,3,8,0.3,2.6,2300,1100000,24000,3500000
4096,"ANDHRAHALLI LAKE, ANDHRAHALLI, BENGALURU",LAKE,KARNATAKA,25,25,0.3,6.2,6.3,7.2,358,1637,4,29,0.3,2.2,3400,700000,24000,5400000
3615,ARAKERE LAKE,LAKE,KARNATAKA,25,25,4.6,6.8,6.8,7.9,706,985,3.7,7,1.4,3.29,490,15000,5400,160000
4542,BASAVANAPURA LAKE,LAKE,KARNATAKA,25,25,4.4,6.5,6.5,8.1,209,1194,4,9,0.7,3.2,3300,140000,24000,540000
4515,BATTARAHALLI LAKE,LAKE,KARNATAKA,25,25,3.2,6.8,7.1,8.5,706,949,4,17,0.4,6.49,3300,150000,24000,1600000
3602,BELLANDUR LAKE,LAKE,KARNATAKA,25,25,0.3,2.8,6.5,6.9,1035,1187,18,87,1.1,5,2300,1200000,24000,920000
3679,BHUTANALA LAKE,LAKE,KARNATAKA,24,29,0.3,10.9,7.6,9,708,1528,1,38,0.32,6,920,1840,1600,3200
3649,BUGUDANAHALLI LAKE,LAKE,KARNATAKA,25,25,5.7,6.9,6.5,7.2,141,312,3,5,0.4,11.5,1200,15000,16000,160000
4507,CHELEKERE LAKE,LAKE,KARNATAKA,25,25,4,7,6.5,7.4,297,1326,3,11,0.6,2.3,3300,940000,24000,5400000
4095,"CHIKKABANVARA LAKE,
CHIKKABANWARA, BENGALURU NORTH",LAKE,KARNATAKA,25,25,1,7,6.5,7.7,225,1871,4,22,0.36,3,3300,1100000,24000,9200000
4537,CHINNAKURCHI KERE,LAKE,KARNATAKA,25,25.1,4.8,7.4,6.5,7.8,208,521,2,10,0.3,2.2,23,46000,24000,350000
4520,CHINNAPANHALLI LAKE,LAKE,KARNATAKA,25,25,2.1,4.8,6.5,8.5,671,1238,6,36,1.5,3.6,4000,79000,24000,540000
3584,DALAVAI LAKE,LAKE,KARNATAKA,21,26,0.3,3.6,7.1,8.5,725,1168,8,14,2.1,4.9,2100,3300,7000,12000
4521,DEVARABEESANAHALLI LAKE,LAKE,KARNATAKA,21,25,2.1,6.6,6.5,7.6,425,1336,3,30,1.1,9.4,4000,14000,24000,160000
3645,DEVARAYASAMUDRA LAKE,LAKE,KARNATAKA,25,25,3.4,6.6,6.1,8,185,1114,3,8,0.3,9.79,4000,120000,24000,1600000
4539,DODDABIDARAKALLU LAKE,LAKE,KARNATAKA,25,25,0.3,5.1,6.3,7.4,974,1737,9,375,1.2,8,3300,2300000,24000,2400000
4094,"GANGONDANA HALLI LAKE, BENGALURU
NORTH",LAKE,KARNATAKA,25,25,0.3,6,6,7.5,359,3010,5,203,0.7,13,4600,940000,35000,5400000
4518,GARUDACHARPALYA LAKE,LAKE,KARNATAKA,25,25,4,6.2,6.5,7.6,325,1769,4,15,0.5,4.5,2300,94000,24000,540000
3613,GOTTIGERE LAKE,LAKE,KARNATAKA,25,25,2,7.1,6.4,8.4,221,1453,4,42,0.6,3.6,2300,46000,24000,350000
3654,GOTTIGERE LAKE,LAKE,KARNATAKA,25,26,2.1,6.8,6.1,7.1,240,2720,3,34,0.3,8.8,4000,120000,24000,920000
4535,GUBBALAL KERE,LAKE,KARNATAKA,25,25,4.8,6.4,6.5,7.7,247,371,3,11,0.4,0.8,1500,15000,16000,160000
3621,HARALAKUNTE LAKE,LAKE,KARNATAKA,25,25,1.2,5.9,6.5,8.4,812,1282,4,30,0.8,5.3,3300,23000,24000,240000
1446,"HEBALLA VALLEY LAKE AT D/S ROAD BRIDGE NR. MANDYA,",LAKE,KARNATAKA,22,29,5.2,5.8,7.5,8.5,386,655,3.5,4.8,1.8,6,240,790,2200,3800
3582,HEBBAL LAKE,LAKE,KARNATAKA,19,25,4.4,6.3,7.5,9,986,1549,3.5,7.4,2.3,8.1,910,2600,5800,7000
3625,HEBBAL LAKE,LAKE,KARNATAKA,25,25,3.2,6.9,6.4,7.4,303,974,3,16,0.9,4,4000,480000,35000,3500000
4536,HOSAKEREHALLI LAKE,LAKE,KARNATAKA,25,25.1,0.3,6,6.5,7,550,1576,5,78,0.7,4.5,3300,700000,24000,3500000
3617,HULIMAVU LAKE,LAKE,KARNATAKA,25,25,3.1,7.2,6.9,7.9,217,1466,3,10,1,5.2,3300,17000,24000,160000
3609,IBBALUR LAKE,LAKE,KARNATAKA,25,25,2,6.4,6.5,7.4,206,738,4,16,0.5,3.4,4600,330000,35000,2400000
4546,JAKKSANDRA LAKE,LAKE,KARNATAKA,25,25,1,6.3,6.5,7.4,521,1017,3,35,1,4.2,2300,63000,24000,540000
3627,JAKKUR LAKE,LAKE,KARNATAKA,25,25,2.8,6.1,6.5,8.2,447,1323,3,13,1.27,4.7,2300,700000,24000,160000
4097,"KACHOHALLI LAKE, KACHOHALLI,
BENGALURU NORTH",LAKE,KARNATAKA,25,25,0.3,5.5,6.3,7.6,286,2280,6,124,0.6,19,3300,480000,24000,3500000
3611,KAIKONDANAHALLI LAKE,LAKE,KARNATAKA,25,25,0.3,7.2,6.6,7.7,629,1449,3,27,0.93,6,2200,170000,24000,1600000
3616,KALENA AGRAHARA LAKE,LAKE,KARNATAKA,25,25,4.1,7.2,6.5,8.4,424,1304,3,12,1,5.3,3300,23000,24000,240000
4540,KAMMGONDANAHALLI LAKE,LAKE,KARNATAKA,25,25,2.3,6.8,6.5,7.5,180,2116,3,12,0.3,4,4900,130000,24000,1600000
3601,KARIHOBANAHALLI LAKE,LAKE,KARNATAKA,25,25,0.3,6.1,6.5,7.4,827,2860,3,80,1.7,7.03,4800,480000,35000,3500000
4529,KASAVANAHALLI LAKE,LAKE,KARNATAKA,25,25,4.6,7.1,6.7,7,210,853,4,6,1,5,4600,46000,35000,350000
3591,KEMPAMBUDHI LAKE,LAKE,KARNATAKA,25,25,4.3,6.8,6.5,8.5,299,787,3,14,0.88,2.3,2300,140000,24000,1600000
3680,KILLA LAKE,LAKE,KARNATAKA,21,33,4.6,10,7,8.8,332,692,1.3,6.4,0.3,4.7,920,920,1600,1600
4543,KODI SINGASANDRA LAKE,LAKE,KARNATAKA,25,25,2.7,6.9,6.5,8,488,1253,3,20,0.3,6.8,2300,46000,24000,350000
4544,KOTHUNURU LAKE,LAKE,KARNATAKA,25,25,3,6.2,6.6,7.6,369,1345,4,34,0.5,4,2700,14000,24000,160000
4517,KOWDHENAHALLI LAKE,LAKE,KARNATAKA,25,25.1,0.3,6.5,6.5,8.3,313,3370,5,54,0.3,8.09,2600,330000,24000,2400000
3583,KUKKARAHALLI LAKE,LAKE,KARNATAKA,21,25,5,6.8,7.1,9,495,770,2.7,4.4,1,3.1,830,1400,4600,6300
4516,KUNDALAHALLI LAKE,LAKE,KARNATAKA,25,25,3,6.1,6.8,7.8,725,1299,4,17,0.81,15,460,94000,3500,540000
3586,LIMBHABUDI LAKE,LAKE,KARNATAKA,20,26,4.6,6,7.3,8.8,564,850,3.5,5.2,1.5,3.1,780,1700,5800,8400
4538,MACHOHALLI LAKE,LAKE,KARNATAKA,25,25,0.3,6.4,6.3,7.6,385,4200,3,145,0.6,11,3300,1200000,24000,9200000
3644,MULBHAGAL LAKE,LAKE,KARNATAKA,25,25,1.2,5.4,6.8,8.2,647,2009,4,78,1.1,6,3300,63000,24000,540000
4523,NALLURAHALLI LAKE,LAKE,KARNATAKA,24,25,3.6,6.5,6.5,6.7,374,820,3,10,1.2,3,3900,7000,24000,54000
3646,NARASAPURA LAKE,LAKE,KARNATAKA,25,25,4.1,6.2,6.9,8,543,1021,3,10,0.3,7.75,3300,130000,24000,920000
4509,NARASIPURA LAKE,LAKE,KARNATAKA,25,25,1.1,7.1,6.5,7.8,304,821,3,34,0.44,3.2,3400,700000,24000,920000
3685,NAVALOORU LAKE,LAKE,KARNATAKA,24,26,6.5,6.8,7.4,8,810,1070,3.4,3.9,0.92,1.22,26,52,109,165
4505,NELAMANGALA LAKE,LAKE,KARNATAKA,25,25,0.8,6.3,6.5,7.6,422,2120,4,46,1.22,7.6,4600,34000,35000,240000
3620,PARAPPANA AGRAHARA LAKE,LAKE,KARNATAKA,25,25,1.8,6.5,6.5,8,207,1297,5,38,0.3,7.9,2300,1100000,24000,92000
4524,PATTANDUR AGARAHARA,LAKE,KARNATAKA,25,25,0.3,6.8,6.5,8.2,346,741,4,32,0.5,2.8,330,63000,9200,540000
